product,protein,fat,carbs,calories,price,weight_per_100g,full_package_weight,is_promo,category
"ლაფშა ""დოშირაკი"" ქათმის (თეფში)",8,15,45,350,2.4,,90.0,0,სწრაფად მოსამზადებელი საკვები
"ჟელე ""იამუნია"" ჟოლოს",8,15,45,350,2.65,,900.0,0,სწრაფად მოსამზადებელი საკვები
"ჟელე ""იამუნია"" ალუბლის",8,15,45,350,2.65,,900.0,0,სწრაფად მოსამზადებელი საკვები
"კისელი ""რუსკი პროდუქტ"" ჟოლოს",8,15,45,350,2.75,,220.0,0,სწრაფად მოსამზადებელი საკვები
"კისელი ""რუსკი პროდუქტ"" ალუბლის",8,15,45,350,2.75,,220.0,0,სწრაფად მოსამზადებელი საკვები
"მაიონეზი ""სლობოდა"" პროვანსალი 67%",1.5,30,5,300,4.2,,200.0,0,მაიონეზი & სოუსები
"მაიონეზი ""სლობოდა"" ოლივკოვი 67%",1.5,30,5,300,4.1,,200.0,0,მაიონეზი & სოუსები
"მაიონეზი ""სლობოდა"" ოლივკოვი 67%",1.5,30,5,300,8.1,,400.0,0,მაიონეზი & სოუსები
"მაიონეზი ""ქართული"" სამარხვო 50%",1.5,30,5,300,1.9,,200.0,0,მაიონეზი & სოუსები
"მაიონეზი ""ქართული"" პროვონსალი 67%",1.5,30,5,300,1.95,,200.0,0,მაიონეზი & სოუსები
"მაიონეზი ""სლობოდა"" პროვანსალი 67%",1.5,30,5,300,8.25,,400.0,0,მაიონეზი & სოუსები
"მაიონეზი ""სლობოდა"" არაჟნით",1.5,30,5,300,8.7,,400.0,0,მაიონეზი & სოუსები
"მაიონეზი ""სლობოდა"" სამარხვო 56%",1.5,30,5,300,8.1,,400.0,0,მაიონეზი & სოუსები
"მაიონეზი ""გურმე"" პროვანსალი",1.5,30,5,300,4.95,,350.0,0,მაიონეზი & სოუსები
"მაიონეზი ""გურმე"" ოლვიკოვი",1.5,30,5,300,4.95,,350.0,0,მაიონეზი & სოუსები
"კეტჩუპი ""კალვე"" ტომატის",1.5,30,5,300,2.75,,350.0,0,მაიონეზი & სოუსები
"კეტჩუპი ""კალვე"" მექსიკური ტაბასკო",1.5,30,5,300,2.75,,350.0,0,მაიონეზი & სოუსები
"კეტჩუპი ""ქართული"" სამწვადე",1.5,30,5,300,1.5,,200.0,0,მაიონეზი & სოუსები
"კეტჩუპი ""ქართული"" ცხარე",1.5,30,5,300,1.5,,200.0,0,მაიონეზი & სოუსები
"ტყემალი ""მარნეული"" მწვანე",1.5,30,5,300,6.5,,530.0,0,მაიონეზი & სოუსები
"ტყემალი ""მარნეული"" ტრადიციული",1.5,30,5,300,6.5,,530.0,0,მაიონეზი & სოუსები
"ტყემალი ""ოდა"" მწვანე",1.5,30,5,300,4.95,,500.0,0,მაიონეზი & სოუსები
"ტყემალი ""ოდა"" წითელი",1.5,30,5,300,4.95,,500.0,0,მაიონეზი & სოუსები
"საწებელი პამიდოვრის ""ოდა""",1.5,30,5,300,4.95,,500.0,0,მაიონეზი & სოუსები
"სოუსი ""ასტორია"" ყველით",25,27,1,350,3.95,,233.0,0,მაიონეზი & სოუსები
"სოუსი ""ჯაკომო"" ჩილი ცხარე",1.5,30,5,300,1.5,,220.0,0,მაიონეზი & სოუსები
"საწებელი პომიდვრის ""მარნეული"" ცოცხალი",1.5,30,5,300,4.95,,535.0,0,მაიონეზი & სოუსები
"სოუსი ""ასტორია"" ცეზარი ყვითელი",1.5,30,5,300,3.95,,200.0,0,მაიონეზი & სოუსები
"სოუსი ""ასტორია"" ბურგერის",1.5,30,5,300,3.95,,200.0,0,მაიონეზი & სოუსები
"სოუსი ""ასტორია"" ტერიაკი",1.5,30,5,300,3.95,,200.0,0,მაიონეზი & სოუსები
"სოუსი ""ასტორია"" ტკბილ-მჟავე",1.5,30,5,300,3.95,,200.0,0,მაიონეზი & სოუსები
"სოუსი ""ჰეფი მამ"" სოიოს",1.5,30,5,300,5.5,,500.0,0,მაიონეზი & სოუსები
"მდოგვი ""ლიდერ ფუდი""",1.5,30,5,300,0.75,,50.0,0,მაიონეზი & სოუსები
"სოუსი ""ასტორია"" სენდვიჩის",1.5,30,5,300,3.95,,200.0,0,მაიონეზი & სოუსები
"თაფლი ""თაფლი სახლში"" ცაცხვის და ყვავილების (პლ. ბოთ.)",0.3,0,82,304,9.95,,400.0,0,"თაფლი, მურაბა & ჯემი"
"თაფლი ""თაფლი სახლში"" ცაცხვის და ყვავილების",0.3,0,82,304,19.75,,350,0,"თაფლი, მურაბა & ჯემი"
"თაფლი ""ჰობი"" (პაკ)",0.3,0,82,304,10.75,,400.0,0,"თაფლი, მურაბა & ჯემი"
"თაფლი ""თაფლი სახლში"" ცაცხვის და ყვავილების",0.3,0,82,304,10.5,,420.0,0,"თაფლი, მურაბა & ჯემი"
მურაბა ჯოლოს,0.4,0,65,250,4.95,,200.0,0,"თაფლი, მურაბა & ჯემი"
ფანტელი სიმინდის ”სტარტი” შოკოლადის ბურთები,5,31,60,546,3.95,,150.0,0,სიმინდის ფანტელი
ფანტელი სიმინდის ”სტარტი” შოკოლადის ბურთები,5,31,60,546,10.65,,500.0,0,სიმინდის ფანტელი
ფანტელი სიმინდის ”სტარტი” დუო,7,1,80,357,9.95,,500.0,0,სიმინდის ფანტელი
"ფანტელი სიმინდის ""სტარტი"" შოკოლადის ბალიშებით",5,31,60,546,10.75,,500.0,0,სიმინდის ფანტელი
"ფანტელი სიმინდის ""სტარტი"" ნატურალური",7,1,80,357,10.95,,500.0,0,სიმინდის ფანტელი
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" ტოსკანა",14,26,2,300,7.6,100,,0,ძეხვეული
"სოსისი ""ბიუ ბიუ"" ივერია ქათმის",12,22,2.5,260,7.95,100,,0,ძეხვეული
"სოსისი ""ლიდერ ფუდი"" ივერია ტკაცუნა სპეცი",12,22,2.5,260,14.5,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""პრემიო"" პეპერონი",14,26,2,300,18.95,100,,0,ძეხვეული
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" ტოსკანა",14,26,2,300,19.95,100,,0,ძეხვეული
