product	protein	fat	carbs	calories	price	sale_type	unit_weight	total_package_weight	is_promo
ძეხვი შებოლილი "შირნჰოფერი" ვენური	0	0	0	0	9.45	weight	0	150	0
სოსისი „საოჯახო“ რძიანი	0	0	0	0	4.35	weight	0	500	0
სოსისი "პრემიო" გერმანული	0	0	0	0	5.2	weight	0	500	0
სოსისი "პრემიო" რძიანი	0	0	0	0	4.9	weight	0	500	0
სოსისი "პრემიო" კანადური	0	0	0	0	4.65	weight	0	500	0
სოსისი "ლიდერ ფუდი" გაუდას ყველით	0	0	0	0	9.85	weight	0	500	0
სოსისი "ლიდერ ფუდი" ბავარიული	0	0	0	0	8.95	weight	0	500	0
სოსისი "ლიდერ ფუდი" სასკოლო	0	0	0	0	8.95	weight	0	500	0
ძეხვი ნედლად შებოლილი "ალანი" სერველატი დაჭრილი	0	0	0	0	6.95	weight	0	80	0
ძეხვი ნედლად შებოლილი "ალანი" საქონლის დაჭრილი	0	0	0	0	6.95	weight	0	80	0
ძეხვი ნედლად შებოლილი "ჩერქიზოვი" ონეჟსკაია	0	0	0	0	13.95	weight	0	300	0
ძეხვი ნედლად შებოლილი "ალანი" სერველატი	0	0	0	0	24.95	weight	0	360	0
ძეხვი ნედლად შებოლილი "ლიდერ ფუდი" პიკოლინო	0	0	0	0	9.95	weight	0	100	0
ძეხვი ნედლად შებოლილი "ალანი" ზერნისტი	0	0	0	0	24.95	weight	0	370	0
ძეხვი ნედლად შებოლილი "ჩერქიზოვი" სალიამი ასტორია	0	0	0	0	13.95	weight	0	225	0
სოსისი "პრემიო" ივერია	0	0	0	0	6.95	weight	0	500	0
სოსისი "ლიდერ ფუდი" ივერია საქონლის	0	0	0	0	9.95	weight	0	500	0
სოსისი "ლიდერ ფუდი" ივერია	0	0	0	0	9.4	weight	0	500	0
ძეხვი მოხარშული "შირნჰოფერი" საექიმო	0	0	0	0	9.55	weight	0	400	0
ძეხვი მოხარშული "პრემიო" გერმანული	0	0	0	0	9.45	weight	0	800	0
ძეხვი მოხარშული "ლიდერ ფუდი" საექიმო	0	0	0	0	5.35	weight	0	400	0
ძეხვი მოხარშული "პრემიო" საექიმო	0	0	0	0	4.65	weight	0	400	0
ძეხვი მოხარშული "ლიდერ ფუდი" მოყვარულთა	0	0	0	0	5.35	weight	0	400	0
ძეხვი მოხარშული "ლიდერ ფუდი" საექიმო	0	0	0	0	11.95	weight	0	900	0
ძეხვი მოხარშული "ლიდერ ფუდი" მოყვარულთა	0	0	0	0	12.95	weight	0	900	0
სოსისი "ლიდერ ფუდი" სპეც-ივერია	0	0	0	0	12.95	weight	0	500	0
სარდელი "ლიდერ ფუდი" ბავარიული	0	0	0	0	9.95	weight	0	500	0
სოსისი გრილისთვის "ლიდერ ფუდი" ემენტალის ყველით 300გრ	0	0	0	0	12.95	weight	0	300	0
სოსისი გრილისთვის "ლიდერ ფუდი" ბავარიული	0	0	0	0	11.95	weight	0	300	0
შაშხი "ლიდერ ფუდი" ბავარიული	0	0	0	0	18.45	weight	0	770	0
შაშხი "ლიდერ ფუდი" ღორის ბარკლის	0	0	0	0	14.85	weight	0	450	0
შაშხი "ლიდერფუდი" რულეტი ღორის 300გრ	0	0	0	0	8.2	weight	0	300	0
პაშტეტი "შირნჰოფერი"	0	0	0	0	6.45	weight	0	200	0
ბეკონი მოხარშული "შირნჰოფერი" შტირიული	0	0	0	0	11.55	weight	0	150	0
ბეკონი "შირნჰოფერი" დაჭრილი	0	0	0	0	11.25	weight	0	150	0
კვერცხი	0	0	0	0	0	package_weight	50	0	0
კვერცხი "ზოგე" ქათმის /1	0	0	0	0	4.7	package_pieces	50	10	0
კვერცხი "კოდა" ქათმის /0	0	0	0	0	5.95	package_pieces	50	10	0
კვერცხი "კუმისი" ქათმის /0	0	0	0	0	6.25	package_pieces	50	10	0
კვერცხი "კუმისის ფერმერი" ქათმის	0	0	0	0	6.35	package_pieces	50	10	0
კვერცხი "კუმისი" ქათმის /1	0	0	0	0	6.1	package_pieces	50	10	0
ყველი	0	0	0	0	0	package_weight	0	0	0
ყველი "პრეზიდენტი" ლაბნე	0	0	0	0	10.65	weight	0	400	0
ყველის მაგვარი "სვანური" სახაჭაპურე	0	0	0	0	6.95	weight	0	500	0
ყველი "სანებო" ქარხნული	0	0	0	0	19.6	weight	0	450	0
ყველი "ალპური ჯავახეთის ყველი" სულგუნი	0	0	0	0	12.95	weight	0	500	0
ყველი "პრეზიდენტი" ლაბნე	0	0	0	0	6.2	weight	0	200	0
