product,protein,fat,carbs,calories,price,sale_type,unit_weight,total_package_weight,is_promo
"ძეხვი შებოლილი ""პრემიო"" მონადირული",0.0,0.0,0.0,0.0,2.8,weight,0,150.0,0
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სერველატი ფინური",0.0,0.0,0.0,0.0,9.95,weight,0,480.0,0
"ძეხვი შებოლილი ""პრემიო"" სერველატი ექსტრა",0.0,0.0,0.0,0.0,5.1,weight,0,270.0,0
"ძეხვი შებოლილი ""პრემიო"" მონადირული",0.0,0.0,0.0,0.0,5.49,weight,0,400.0,0
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სერველატი ვენური 480გრ",0.0,0.0,0.0,0.0,9.95,weight,0,480.0,0
"ძეხვი შებოლილი ""ლიდერ ფუდი"" სერველატი ფინური",0.0,0.0,0.0,0.0,6.45,weight,0,300.0,0
"ძეხვი შებოლილი ""ლიდერ ფუდი"" მონადირული ლუდისთვის",0.0,0.0,0.0,0.0,7.95,weight,0,400.0,0
"ძეხვი შებოლილი ""ლიდერ ფუდი"" მონადირული ლუდისთვის",0.0,0.0,0.0,0.0,5.95,weight,0,210.0,0
"ძეხვი შებოლილი ""პრემიო"" სერველატი ექსტრა",0.0,0.0,0.0,0.0,11.6,weight,0,750.0,0
"ძეხვი შებოლილი ""ლიდერ ფუდი"" კრაკოვური",0.0,0.0,0.0,0.0,6.55,weight,0,310.0,0
"ძეხვი შებოლილი ""შირნჰოფერი"" ვენური",0.0,0.0,0.0,0.0,9.45,weight,0,150.0,0
სოსისი „საოჯახო“ რძიანი,0.0,0.0,0.0,0.0,4.35,weight,0,500.0,0
"სოსისი ""პრემიო"" გერმანული",0.0,0.0,0.0,0.0,5.2,weight,0,500.0,0
"სოსისი ""პრემიო"" რძიანი",0.0,0.0,0.0,0.0,4.9,weight,0,500.0,0
"სოსისი ""პრემიო"" კანადური",0.0,0.0,0.0,0.0,4.65,weight,0,500.0,0
"სოსისი ""ლიდერ ფუდი"" გაუდას ყველით",0.0,0.0,0.0,0.0,9.85,weight,0,500.0,0
"სოსისი ""ლიდერ ფუდი"" ბავარიული",0.0,0.0,0.0,0.0,8.95,weight,0,500.0,0
"სოსისი ""ლიდერ ფუდი"" სასკოლო",0.0,0.0,0.0,0.0,8.95,weight,0,500.0,0
"ძეხვი ნედლად შებოლილი ""ალანი"" სერველატი დაჭრილი",0.0,0.0,0.0,0.0,6.95,weight,0,80.0,0
"ძეხვი ნედლად შებოლილი ""ალანი"" საქონლის დაჭრილი",0.0,0.0,0.0,0.0,6.95,weight,0,80.0,0
"ძეხვი ნედლად შებოლილი ""ჩერქიზოვი"" ონეჟსკაია",0.0,0.0,0.0,0.0,13.95,weight,0,300.0,0
"ძეხვი ნედლად შებოლილი ""ალანი"" სერველატი",0.0,0.0,0.0,0.0,24.95,weight,0,360.0,0
"ძეხვი ნედლად შებოლილი ""ლიდერ ფუდი"" პიკოლინო",0.0,0.0,0.0,0.0,9.95,weight,0,100.0,0
"ძეხვი ნედლად შებოლილი ""ალანი"" ზერნისტი",0.0,0.0,0.0,0.0,24.95,weight,0,370.0,0
"ძეხვი ნედლად შებოლილი ""ჩერქიზოვი"" სალიამი ასტორია",0.0,0.0,0.0,0.0,13.95,weight,0,225.0,0
"სოსისი ""პრემიო"" ივერია",0.0,0.0,0.0,0.0,6.95,weight,0,500.0,0
"სოსისი ""ლიდერ ფუდი"" ივერია საქონლის",0.0,0.0,0.0,0.0,9.95,weight,0,500.0,0
"სოსისი ""ლიდერ ფუდი"" ივერია",0.0,0.0,0.0,0.0,9.4,weight,0,500.0,0
"ძეხვი მოხარშული ""შირნჰოფერი"" საექიმო",0.0,0.0,0.0,0.0,9.55,weight,0,400.0,0
"ძეხვი მოხარშული ""პრემიო"" გერმანული",0.0,0.0,0.0,0.0,9.45,weight,0,800.0,0
"ძეხვი მოხარშული ""ლიდერ ფუდი"" საექიმო",0.0,0.0,0.0,0.0,5.35,weight,0,400.0,0
"ძეხვი მოხარშული ""პრემიო"" საექიმო",0.0,0.0,0.0,0.0,4.65,weight,0,400.0,0
"ძეხვი მოხარშული ""ლიდერ ფუდი"" მოყვარულთა",0.0,0.0,0.0,0.0,5.35,weight,0,400.0,0
"ძეხვი მოხარშული ""ლიდერ ფუდი"" საექიმო",0.0,0.0,0.0,0.0,11.95,weight,0,900.0,0
"ძეხვი მოხარშული ""ლიდერ ფუდი"" მოყვარულთა",0.0,0.0,0.0,0.0,12.95,weight,0,900.0,0
"სოსისი ""ლიდერ ფუდი"" სპეც-ივერია",0.0,0.0,0.0,0.0,12.95,weight,0,500.0,0
"სარდელი ""ლიდერ ფუდი"" ბავარიული",0.0,0.0,0.0,0.0,9.95,weight,0,500.0,0
"სოსისი გრილისთვის ""ლიდერ ფუდი"" ემენტალის ყველით 300გრ",0.0,0.0,0.0,0.0,12.95,weight,0,300.0,0
"სოსისი გრილისთვის ""ლიდერ ფუდი"" ბავარიული",0.0,0.0,0.0,0.0,11.95,weight,0,300.0,0
"შაშხი ""ლიდერ ფუდი"" ბავარიული",0.0,0.0,0.0,0.0,18.45,weight,0,770.0,0
"შაშხი ""ლიდერ ფუდი"" ღორის ბარკლის",0.0,0.0,0.0,0.0,14.85,weight,0,450.0,0
"შაშხი ""ლიდერფუდი"" რულეტი ღორის 300გრ",0.0,0.0,0.0,0.0,8.2,weight,0,300.0,0
"პაშტეტი ""შირნჰოფერი""",0.0,0.0,0.0,0.0,6.45,weight,0,200.0,0
"ბეკონი მოხარშული ""შირნჰოფერი"" შტირიული",0.0,0.0,0.0,0.0,11.55,weight,0,150.0,0
"ბეკონი ""შირნჰოფერი"" დაჭრილი",0.0,0.0,0.0,0.0,11.25,weight,0,150.0,0
კვერცხი,0.0,0.0,0.0,0.0,0.0,package_weight,50,0.0,0
"კვერცხი ""ზოგე"" ქათმის /1",0.0,0.0,0.0,0.0,4.7,package_pieces,50,10.0,0
"კვერცხი ""კოდა"" ქათმის /0",0.0,0.0,0.0,0.0,5.95,package_pieces,50,10.0,0
"კვერცხი ""კუმისი"" ქათმის /0",0.0,0.0,0.0,0.0,6.25,package_pieces,50,10.0,0
